variant,entity_micro_f1,entity_macro_f1,strict_relation_micro_f1,relation_macro_f1,n_test,gold_entities,gold_relations,delta_vs_raw_entity_micro_f1,delta_vs_raw_entity_macro_f1,delta_vs_raw_strict_relation_micro_f1,delta_vs_raw_relation_macro_f1
raw,0.945529899348727,0.9056323458929236,0.8202734244748249,0.7510916139617055,225,1693,1419,0.0,0.0,0.0,0.0
rules,0.9431952662721893,0.8889132463419701,0.8150594451783356,0.7466122643266957,225,1693,1419,-0.0023346330765376955,-0.01671909955095352,-0.005213979296489257,-0.004479349635009844
byt5,0.9352855051244511,0.8753259543371864,0.8033689666342727,0.7476388128184024,225,1693,1419,-0.010244394224275921,-0.030306391555737222,-0.016904457840552167,-0.0034528011433031525
selective_byt5,0.9424269264836138,0.8939646647770453,0.816688567674113,0.7780761360340441,225,1693,1419,-0.003102972865113185,-0.011667681115878348,-0.0035848568007118553,0.02698452207233859
rules_then_byt5,0.937776467118844,0.8714564741844648,0.813570487483531,0.7622282056701342,225,1693,1419,-0.007753432229883006,-0.034175871708458816,-0.006702936991293873,0.011136591708428623
