loss_avg;epoch;iteration;global_iteration
0.19227927923202515;0;100;100
0.12747611105442047;0;200;200
0.11055424064397812;0;300;300
0.07298041135072708;0;400;400
0.07764804363250732;0;500;500
0.10306201875209808;0;600;600
0.05569028481841087;1;63;700
0.06993349641561508;1;163;800
0.039964716881513596;1;263;900
0.04367127642035484;1;363;1000
0.04970830678939819;1;463;1100
0.06965573132038116;1;563;1200
0.025409474968910217;2;26;1300
0.022711846977472305;2;126;1400
0.027050573378801346;2;226;1500
0.02309669367969036;2;326;1600
0.013669591397047043;2;426;1700
0.0463084802031517;2;526;1800
0.017092768102884293;2;626;1900
0.01821957528591156;3;89;2000
0.034537725150585175;3;189;2100
0.030618973076343536;3;289;2200
0.039483122527599335;3;389;2300
0.005384549032896757;3;489;2400
0.020281648263335228;3;589;2500
0.014683537185192108;4;52;2600
0.03058229573071003;4;152;2700
0.022851374000310898;4;252;2800
0.02819657512009144;4;352;2900
0.014575975947082043;4;452;3000
0.013664198108017445;4;552;3100
0.010438834317028522;5;15;3200
0.0045651597902178764;5;115;3300
0.00695233978331089;5;215;3400
0.0236522126942873;5;315;3500
0.02226530946791172;5;415;3600
0.005000949837267399;5;515;3700
0.019829796627163887;5;615;3800
0.005633177235722542;6;78;3900
0.034621793776750565;6;178;4000
0.018454203382134438;6;278;4100
0.01528813224285841;6;378;4200
0.06781908124685287;6;478;4300
0.012276630848646164;6;578;4400
0.006363728083670139;7;41;4500
0.007520860992372036;7;141;4600
0.012994497083127499;7;241;4700
0.016384797170758247;7;341;4800
0.00495193712413311;7;441;4900
0.007573284208774567;7;541;5000
0.008541828021407127;8;4;5100
0.008296966552734375;8;104;5200
0.013765685260295868;8;204;5300
0.007315278984606266;8;304;5400
0.001952845836058259;8;404;5500
0.011983397416770458;8;504;5600
0.0014493598137050867;8;604;5700
0.0048683034256100655;9;67;5800
0.004035038407891989;9;167;5900
0.014153316617012024;9;267;6000
0.0033569158986210823;9;367;6100
0.0061867390759289265;9;467;6200
0.007081830874085426;9;567;6300
0.004810113459825516;10;30;6400
0.0036659683100879192;10;130;6500
0.005231765098869801;10;230;6600
0.005564067047089338;10;330;6700
0.004759043920785189;10;430;6800
0.00434349849820137;10;530;6900
0.011754435487091541;10;630;7000
0.006271893158555031;11;93;7100
0.0041810572147369385;11;193;7200
0.004247832112014294;11;293;7300
0.003811664879322052;11;393;7400
0.007160622160881758;11;493;7500
0.0015668272972106934;11;593;7600
0.0009650278370827436;12;56;7700
0.004878664389252663;12;156;7800
0.013985292986035347;12;256;7900
0.00310114910826087;12;356;8000
0.002334220800548792;12;456;8100
0.03037724457681179;12;556;8200
0.02263503521680832;13;19;8300
0.0032666348852217197;13;119;8400
0.002977321157231927;13;219;8500
0.004433038644492626;13;319;8600
0.003314724424853921;13;419;8700
0.004841547925025225;13;519;8800
0.0015024231979623437;13;619;8900
0.0021166279911994934;14;82;9000
0.0019987942650914192;14;182;9100
0.003158124163746834;14;282;9200
0.0027619085740298033;14;382;9300
0.001157614286057651;14;482;9400
0.0009716341737657785;14;582;9500
0.00210295501165092;15;45;9600
0.0025870848912745714;15;145;9700
0.0030955947004258633;15;245;9800
0.002525698160752654;15;345;9900
0.004632527474313974;15;445;10000
0.002435434842482209;15;545;10100
0.002364186570048332;16;8;10200
0.0029395781457424164;16;108;10300
0.005124642513692379;16;208;10400
0.007347320206463337;16;308;10500
0.009500342421233654;16;408;10600
0.00547519326210022;16;508;10700
0.0026759521570056677;16;608;10800
0.0014547070022672415;17;71;10900
0.0012519489973783493;17;171;11000
0.0012114417040720582;17;271;11100
0.0029799197800457478;17;371;11200
0.0038879525382071733;17;471;11300
0.003675805637612939;17;571;11400
0.003027417231351137;18;34;11500
0.00044791196705773473;18;134;11600
0.0027659761253744364;18;234;11700
0.0019396840361878276;18;334;11800
0.0018468949710950255;18;434;11900
0.0015693828463554382;18;534;12000
0.007065765559673309;18;634;12100
0.0010827367659658194;19;97;12200
0.0014393879100680351;19;197;12300
0.0022812471725046635;19;297;12400
0.0021987268701195717;19;397;12500
0.0025626481510698795;19;497;12600
0.001875257003121078;19;597;12700
