variant,class,precision,recall,f1,support
raw,ACTION_ADDRESSES_ISSUE,0.9222222222222223,0.907103825136612,0.9146005509641874,183
raw,ACTION_FOLLOWS_REFERENCE,1.0,1.0,1.0,2
raw,ACTION_INVESTIGATES_ISSUE,0.5098039215686274,0.65,0.5714285714285715,40
raw,ACTION_ON_ITEM,0.8535980148883374,0.900523560209424,0.8764331210191082,382
raw,ACTION_RESULTS_IN_OUTCOME,0.6666666666666666,0.6896551724137931,0.6779661016949153,29
raw,ACTION_USES_ITEM,1.0,1.0,1.0,10
raw,HAS_LOCATION,0.8600583090379009,0.9161490683229814,0.8872180451127819,322
raw,HAS_PART,0.7417582417582418,0.8083832335329342,0.7736389684813754,167
raw,ISSUE_ON_ITEM,0.9110169491525424,0.9148936170212766,0.9129511677282378,235
raw,OBSERVATION_OF_ITEM,0.6,0.6,0.6,30
raw,OCCURS_UNDER_CONTEXT,0.47368421052631576,0.47368421052631576,0.47368421052631576,19
rules,ACTION_ADDRESSES_ISSUE,0.0,0.0,0.0,183
rules,ACTION_FOLLOWS_REFERENCE,0.0,0.0,0.0,2
rules,ACTION_INVESTIGATES_ISSUE,0.0,0.0,0.0,40
rules,ACTION_ON_ITEM,0.6,0.015706806282722512,0.030612244897959186,382
rules,ACTION_RESULTS_IN_OUTCOME,0.0,0.0,0.0,29
rules,ACTION_USES_ITEM,0.0,0.0,0.0,10
rules,HAS_LOCATION,0.0,0.0,0.0,322
rules,HAS_PART,0.0,0.0,0.0,167
rules,ISSUE_ON_ITEM,0.0,0.0,0.0,235
rules,OBSERVATION_OF_ITEM,0.0,0.0,0.0,30
rules,OCCURS_UNDER_CONTEXT,0.0,0.0,0.0,19
byt5,ACTION_ADDRESSES_ISSUE,0.0,0.0,0.0,183
byt5,ACTION_FOLLOWS_REFERENCE,0.0,0.0,0.0,2
byt5,ACTION_INVESTIGATES_ISSUE,0.0,0.0,0.0,40
byt5,ACTION_ON_ITEM,0.625,0.013089005235602094,0.02564102564102564,382
byt5,ACTION_RESULTS_IN_OUTCOME,0.0,0.0,0.0,29
byt5,ACTION_USES_ITEM,0.0,0.0,0.0,10
byt5,HAS_LOCATION,0.0,0.0,0.0,322
byt5,HAS_PART,0.0,0.0,0.0,167
byt5,ISSUE_ON_ITEM,0.0,0.0,0.0,235
byt5,OBSERVATION_OF_ITEM,0.0,0.0,0.0,30
byt5,OCCURS_UNDER_CONTEXT,0.0,0.0,0.0,19
selective_byt5,ACTION_ADDRESSES_ISSUE,0.0,0.0,0.0,183
selective_byt5,ACTION_FOLLOWS_REFERENCE,0.0,0.0,0.0,2
selective_byt5,ACTION_INVESTIGATES_ISSUE,0.0,0.0,0.0,40
selective_byt5,ACTION_ON_ITEM,0.625,0.013089005235602094,0.02564102564102564,382
selective_byt5,ACTION_RESULTS_IN_OUTCOME,0.0,0.0,0.0,29
selective_byt5,ACTION_USES_ITEM,0.0,0.0,0.0,10
selective_byt5,HAS_LOCATION,0.0,0.0,0.0,322
selective_byt5,HAS_PART,0.0,0.0,0.0,167
selective_byt5,ISSUE_ON_ITEM,0.0,0.0,0.0,235
selective_byt5,OBSERVATION_OF_ITEM,0.0,0.0,0.0,30
selective_byt5,OCCURS_UNDER_CONTEXT,0.0,0.0,0.0,19
rules_then_byt5,ACTION_ADDRESSES_ISSUE,0.0,0.0,0.0,183
rules_then_byt5,ACTION_FOLLOWS_REFERENCE,0.0,0.0,0.0,2
rules_then_byt5,ACTION_INVESTIGATES_ISSUE,0.0,0.0,0.0,40
rules_then_byt5,ACTION_ON_ITEM,0.625,0.013089005235602094,0.02564102564102564,382
rules_then_byt5,ACTION_RESULTS_IN_OUTCOME,0.0,0.0,0.0,29
rules_then_byt5,ACTION_USES_ITEM,0.0,0.0,0.0,10
rules_then_byt5,HAS_LOCATION,0.0,0.0,0.0,322
rules_then_byt5,HAS_PART,0.0,0.0,0.0,167
rules_then_byt5,ISSUE_ON_ITEM,0.0,0.0,0.0,235
rules_then_byt5,OBSERVATION_OF_ITEM,0.0,0.0,0.0,30
rules_then_byt5,OCCURS_UNDER_CONTEXT,0.0,0.0,0.0,19
