variant,entity_micro_f1,entity_macro_f1,strict_relation_micro_f1,relation_macro_f1,n_test,gold_entities,gold_relations
raw,0.9519882179675994,0.9062791516429964,0.8537005163511187,0.7898109760868629,225,1693,1419
rules,0.2549800796812749,0.1692519406715578,0.008362369337979096,0.002782931354359926,225,1693,1419
byt5,0.20650490449148168,0.1320510398818019,0.00700770847932726,0.002331002331002331,225,1693,1419
selective_byt5,0.2100926879505664,0.14672318753221336,0.00700770847932726,0.002331002331002331,225,1693,1419
rules_then_byt5,0.21248066013408973,0.13379410667589325,0.00700770847932726,0.002331002331002331,225,1693,1419
