variant,class,precision,recall,f1,support
raw,ABN_PROC,0.9696969696969697,0.9552238805970149,0.9624060150375939,134
raw,ACTION,0.9455958549222798,0.958005249343832,0.9517601043024773,381
raw,FAULT,0.9587628865979382,0.9207920792079208,0.9393939393939394,101
raw,LOC,0.9585798816568047,0.9908256880733946,0.9744360902255639,327
raw,MAINT_ITEM,0.9622356495468278,0.9622356495468278,0.9622356495468278,662
raw,OP_CTX,0.7727272727272727,0.85,0.8095238095238095,20
raw,OUTCOME,0.8148148148148148,0.7857142857142857,0.7999999999999999,28
raw,REFERENCE,1.0,1.0,1.0,2
raw,TECH_OBS,0.7777777777777778,0.7368421052631579,0.7567567567567567,38
rules,ABN_PROC,0.9407407407407408,0.9477611940298507,0.9442379182156135,134
rules,ACTION,0.9554973821989529,0.958005249343832,0.9567496723460026,381
rules,FAULT,0.9473684210526315,0.8910891089108911,0.9183673469387755,101
rules,LOC,0.9727272727272728,0.981651376146789,0.9771689497716896,327
rules,MAINT_ITEM,0.9470499243570348,0.945619335347432,0.946334089191232,662
rules,OP_CTX,0.7142857142857143,0.75,0.7317073170731706,20
rules,OUTCOME,0.8214285714285714,0.8214285714285714,0.8214285714285714,28
rules,REFERENCE,1.0,1.0,1.0,2
rules,TECH_OBS,0.7575757575757576,0.6578947368421053,0.704225352112676,38
byt5,ABN_PROC,0.9696969696969697,0.9552238805970149,0.9624060150375939,134
byt5,ACTION,0.9487179487179487,0.9711286089238845,0.9597924773022048,381
byt5,FAULT,0.9285714285714286,0.900990099009901,0.914572864321608,101
byt5,LOC,0.9437869822485208,0.9755351681957186,0.9593984962406015,327
byt5,MAINT_ITEM,0.9261447562776958,0.947129909365559,0.9365197908887231,662
byt5,OP_CTX,0.6818181818181818,0.75,0.7142857142857143,20
byt5,OUTCOME,0.8518518518518519,0.8214285714285714,0.8363636363636364,28
byt5,REFERENCE,1.0,1.0,1.0,2
byt5,TECH_OBS,0.6111111111111112,0.5789473684210527,0.5945945945945946,38
selective_byt5,ABN_PROC,0.9626865671641791,0.9626865671641791,0.9626865671641791,134
selective_byt5,ACTION,0.9533678756476683,0.9658792650918635,0.9595827900912646,381
selective_byt5,FAULT,0.9285714285714286,0.900990099009901,0.914572864321608,101
selective_byt5,LOC,0.9548192771084337,0.9694189602446484,0.9620637329286799,327
selective_byt5,MAINT_ITEM,0.9428571428571428,0.947129909365559,0.9449886963074604,662
selective_byt5,OP_CTX,0.7777777777777778,0.7,0.7368421052631577,20
selective_byt5,OUTCOME,0.9230769230769231,0.8571428571428571,0.888888888888889,28
selective_byt5,REFERENCE,1.0,1.0,1.0,2
selective_byt5,TECH_OBS,0.7272727272727273,0.631578947368421,0.676056338028169,38
rules_then_byt5,ABN_PROC,0.9411764705882353,0.9552238805970149,0.9481481481481482,134
rules_then_byt5,ACTION,0.9609375,0.968503937007874,0.9647058823529412,381
rules_then_byt5,FAULT,0.9375,0.8910891089108911,0.9137055837563451,101
rules_then_byt5,LOC,0.9498525073746312,0.9847094801223242,0.966966966966967,327
rules_then_byt5,MAINT_ITEM,0.9465648854961832,0.9365558912386707,0.9415337889141989,662
rules_then_byt5,OP_CTX,0.6818181818181818,0.75,0.7142857142857143,20
rules_then_byt5,OUTCOME,0.8461538461538461,0.7857142857142857,0.8148148148148148,28
rules_then_byt5,REFERENCE,1.0,1.0,1.0,2
rules_then_byt5,TECH_OBS,0.5789473684210527,0.5789473684210527,0.5789473684210527,38
