class,test_support,Tier1_CRF_LogReg__precision,Tier1_CRF_LogReg__recall,Tier1_CRF_LogReg__f1,Tier2_BiLSTM_Neural__precision,Tier2_BiLSTM_Neural__recall,Tier2_BiLSTM_Neural__f1,Tier3_Transformer__precision,Tier3_Transformer__recall,Tier3_Transformer__f1,Tier3b_SpERT__precision,Tier3b_SpERT__recall,Tier3b_SpERT__f1
MAINT_ITEM,662,0.9524,0.9366,0.9444,0.9516,0.9502,0.9509,0.9362,0.9532,0.9446,0.9621,0.9577,0.9599
ACTION,381,0.9577,0.9501,0.9539,0.9524,0.9449,0.9486,0.949,0.9764,0.9625,0.9607,0.9633,0.962
LOC,327,0.9755,0.9725,0.974,0.9639,0.9786,0.9712,0.9727,0.9817,0.9772,0.9528,0.9878,0.97
ABN_PROC,134,0.9416,0.9627,0.952,0.9552,0.9552,0.9552,0.9209,0.9552,0.9377,0.9624,0.9552,0.9588
FAULT,101,0.9368,0.8812,0.9082,0.9184,0.8911,0.9045,0.902,0.9109,0.9064,0.9381,0.901,0.9192
TECH_OBS,38,0.6176,0.5526,0.5833,0.6579,0.6579,0.6579,0.8286,0.7632,0.7945,0.7778,0.7368,0.7568
OUTCOME,28,0.8462,0.7857,0.8148,0.8462,0.7857,0.8148,0.8519,0.8214,0.8364,0.8846,0.8214,0.8519
OP_CTX,20,0.8333,0.75,0.7895,0.8,0.8,0.8,0.7083,0.85,0.7727,0.7727,0.85,0.8095
