model,display_name,entity_micro_p,entity_micro_r,entity_micro_f1,entity_macro_f1,relation_micro_p,relation_micro_r,relation_micro_f1,relation_macro_f1,gold_entity_relation_micro_f1
Tier1_CRF_LogReg,CRF + LogReg,0.9467,0.9338,0.9402,0.8822,0.7581,0.8548,0.8036,0.7409,0.8795
Tier2_BiLSTM_Neural,BiLSTM-CRF + Neural RE,0.9391,0.938,0.9385,0.8935,0.4942,0.8774,0.6323,0.6165,0.6946
Tier3_Transformer,DistilBERT pipeline,0.9383,0.9516,0.9449,0.8874,0.8305,0.8288,0.8296,0.6739,0.9064
Tier3b_SpERT,SpERT,0.9495,0.9545,0.952,0.9063,0.8345,0.8739,0.8537,0.7898,
