batch,records_in_batch,gold_total,ent_MAINT_ITEM,ent_ABN_PROC,ent_TECH_OBS,ent_OP_CTX,ent_OUTCOME,ent_ACTION,ent_REFERENCE,ent_LOC,ent_FAULT,rel_ACTION_INVESTIGATES_ISSUE,rel_ACTION_ON_ITEM,rel_ACTION_RESULTS_IN_OUTCOME,rel_ISSUE_ON_ITEM,rel_OBSERVATION_OF_ITEM,rel_OCCURS_UNDER_CONTEXT,rel_ACTION_FOLLOWS_REFERENCE,rel_ACTION_ADDRESSES_ISSUE,rel_HAS_LOCATION,rel_ACTION_USES_ITEM,rel_HAS_PART
rare1,300,300,624,233,380,208,221,555,30,176,99,374,529,234,302,319,195,31,55,166,3,45
rare2,300,600,824,192,172,114,107,554,19,270,119,276,528,122,305,158,107,21,84,261,17,162
rare3,200,800,663,93,89,24,88,367,8,282,123,101,406,93,213,89,26,8,85,324,7,154
